id;title;release_date;genre;description;budget;gross_earnings;world_wide_earnings
745;Heavenly Creatures;10/14/1994;Biography, Crime, Drama;"Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.";5000000.0;3049135.0;3049135.0
746;Highlander III: The Sorcerer;2/3/1995;Action, Fantasy, Romance;Deceived that he had won the Prize, Connor MacLeod awakens from a peaceful life when an entombed immortal magician comes seeking the Highlander.;26000000.0;12303080.0;12303080.0
747;Houseguest;1/6/1995;Comedy;In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.;10500000.0;26325256.0;26325256.0
748;The Hudsucker Proxy;11/11/1994;Comedy, Drama, Fantasy;A naive business graduate is installed as president of a manufacturing company as part of a stock scam.;40000000.0;2816518.0;2816518.0
749;I Love Trouble;11/18/1994;Action, Comedy, Romance;Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.;45000000.0;30806194.0;30806194.0
750;I'll Do Anything;2/4/1994;Comedy, Drama;An aspiring actor has his life turned upside down when his ex-wife dumps off their bossy, wild daughter into his custody.;40000000.0;10424645.0;10424645.0
751;I.Q.;3/17/1995;Comedy, Romance;A mechanic romances the mathematician niece of physicist Albert Einstein, with help from Einstein and his friends.;25000000.0;26381221.0;26381221.0
752;Intersection;6/3/1994;Drama, Romance;While driving on a remote highway, a man is torn between choosing to reunite with his estranged wife or taking up with his lovers;45000000.0;21355893.0;21355893.0
753;Interview with the Vampire: The Vampire Chronicles;1/20/1995;Drama, Horror;A vampire tells his epic life story: love, betrayal, loneliness, and hunger.;60000000.0;105264608.0;223664608.0
754;It Could Happen to You;11/11/1994;Comedy, Drama, Romance;A police officer promises to share his lottery ticket with a waitress in lieu of a tip.;20000000.0;37939757.0;37939757.0
755;It Runs in the Family;9/23/1994;Comedy, Family;It is now summer in the Parker family and the usual number of events is happening in their separate lives. Ralphie is searching for the perfect top to use to beat the school bully, the Old ...;15000000.0;70936.0;70936.0
757;Jason's Lyric;9/28/1994;Crime, Drama, Romance;Two brothers, survivors of family tragedy, take different life paths: one falls for a high-spirited waitress and dreams of success, the other follows a life of petty crime. Their lives reconnect in shattering fashion.;7000000.0;20851521.0;20851521.0
758;The Jerky Boys;2/3/1995;Comedy, Crime;"When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn\'t...";7000000.0;7557877.0;7557877.0
759;Jimmy Hollywood;3/30/1994;Crime, Comedy, Drama;Jimmy Alto is an actor wannabe who stumbles into the role of a lifetime. He becomes a vigilante crime-fighter, aided by his sidekick William, who has suffered a head wound and has problems ...;30000000.0;3783003.0;3783003.0
760;The Jungle Book;4/7/1995;Adventure, Family, Romance;Rudyard Kipling\'s classic tale of Mowgli, the orphaned jungle boy raised by wolves, and how he becomes king of the jungle.;27000000.0;43229904.0;43229904.0
761;Junior;12/9/1994;Comedy, Romance, Sci-Fi;As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.;60000000.0;36763355.0;108431355.0
762;Killing Zoe;2/17/1995;Crime, Thriller;The cab driver sets American Zed up with Zoe in his Paris hotel. Despite FFR1000 charged, she\'s an art student with day jobs e.g. bank. Safecracker Zed meets his junkie friend after 11 years to rob a bank.;1500000.0;418961.0;418961.0
763;The Last Seduction;9/23/1994;Crime, Drama, Romance;A devious sexpot steals her husband\'s drug money and hides out in a small town where she meets the perfect dupe for her next scheme.;2500000.0;5842603.0;5842603.0
764;Legends of the Fall;4/28/1995;Drama, Romance, War;In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.;30000000.0;66638883.0;160638883.0
765;Leprechaun 2;4/8/1994;Comedy, Fantasy, Horror;On his one thousandth birthday, an evil leprechaun selects the descendant of one of his slaves to have as his bride, leaving it up to the girl\'s boyfriend to save her.;2000000.0;2260622.0;2260622.0
766;The Lion King;10/21/1994;Animation, Adventure, Drama;A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father\'s death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.;45000000.0;422783777.0;968511805.0
767;Little Giants;10/14/1994;Comedy, Family, Sport;Misfits form their own opposing team to an elite peewee football team, coached by the elite team coach\'s brother.;20000000.0;19306362.0;19306362.0
768;Little Odessa;5/19/1995;Crime, Drama;Early 1990s drama about a family of Soviet Jews living in Brooklyn\'s Brighton Beach ocean-side neighborhood nicknamed Little Odessa.;2300000.0;1095885.0;1095885.0
769;The Little Rascals;4/14/1995;Comedy, Family, Romance;"Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.";23000000.0;52125282.0;67308282.0
770;Little Women;3/24/1995;Drama, Family, Romance;The March sisters live and grow in post-Civil War America.;18000000.0;50083616.0;50083616.0
771;Love Affair;10/21/1994;Comedy, Drama, Romance;Ex-football star Mike Gambril meets Terry McKay on a flight to Sydney, which is forced to land on a small atoll. Both engaged to others, they become romantic on board the ship sent to take ...;60000000.0;18272894.0;18272894.0
772;A Low Down Dirty Shame;11/23/1994;Action, Comedy, Crime;An ex-cop, now a private detective, takes on the search for the millions stolen by a drug lord.;10000000.0;29392418.0;29392418.0
774;Major League II;10/7/1994;Comedy, Sport;The Indians are now a World Series contender. But last year\'s hunger is now replaced with complacency, and bad decisions by the new owner threaten to tear the team apart.;25000000.0;30626182.0;30626182.0
775;The Mask;8/19/1994;Comedy, Crime, Fantasy;Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.;23000000.0;119938730.0;351583407.0
776;Maverick;7/15/1994;Action, Adventure, Comedy;Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.;75000000.0;101631272.0;183031272.0
777;Mixed Nuts;12/21/1994;Comedy, Drama;The events focus around a crisis hotline business on one crazy night during the Christmas holidays.;15000000.0;6821850.0;6821850.0
